Reference,Colour_Description,Breed_Description,Animal_Name,Gender,Suburb,Mother,Father,0,0
20990,Red,Dobermann,AMY,Desexed Female,WATERLOO CORNER,0,0
21900,Black,German Shepherd Dog,DOMINO,Desexed Female,MACDONALD PARK,0,0
25702,Brown/Tan,Dobermann,RUFUS,Desexed Male,WATERLOO CORNER,0,0
25703,Grey/Tan,Dobermann,E T,Desexed Male,WATERLOO CORNER,0,0
26898,Blenheim,Spaniel,SAMO,Male,HILLIER,0,0
26899,Blenheim,Spaniel,ANDY,Male,HILLIER,0,0
26900,Tri-Colored,Spaniel,GIDGET,Female,HILLIER,0,0
26901,Blenheim,Spaniel,CORKY,Female,HILLIER,0,0
26938,Black,Rottweiler,SPYDA,Desexed Female,WATERLOO CORNER,0,0
27181,Blue,Australian Cattle Dog,TUPPY,Male,ANGLE VALE,0,0
32485,White,Australian Kelpie,CHELSEA,Desexed Female,HILLBANK,0,0
59138,Blue/Roan,Australian Cattle Dog,DAPPLES,Desexed Male,ELIZABETH DOWNS,0,0
60736,Fawn,Greyhound,LADY,Desexed Female,ELIZABETH NORTH,0,0
60997,Black/White,Border Collie,RAEGAN,Female,ELIZABETH PARK,0,0
100268,Tan,Tenterfield Terrier,CONAN,Male,BLAKEVIEW,0,0
100270,Black,Terrier,LADY,Desexed Female,WATERLOO CORNER,0,0
100568,White,Poodle,CLOE,Desexed Female,HILLBANK,0,0
101440,Gold,Golden Retriever,GRACE,Female,CRAIGMORE,0,0
101811,Black/Grey,Australian Cattle Dog,MAX,Male,ONE TREE HILL,0,0
101924,Black,Australian Kelpie,SNOOP,Desexed Female,MUNNO PARA,0,0
102281,Sable/White,Collie (Rough),BRIDIE,Female,ANGLE VALE,0,0
102807,Apricot,Poodle (Toy),LEE-LA,Desexed Female,SMITHFIELD,0,0
102880,Black,Poodle (Miniature),EBONY,Female,ELIZABETH DOWNS,0,0
102891,Cream/Brown,Jack Russell Terrier,MAX,Male,HILLBANK,0,0
103228,White,Poodle,MARGIE,Desexed Female,ELIZABETH VALE,0,0
103776,Silver,Poodle,MONET,Female,ELIZABETH NORTH,0,0
